accountsLoggedIntoFromDeviceInLastDay,accountsLoggedIntoFromDeviceInLastWeek,accountsLoggedIntoFromDeviceInLastMonth,areBarberAndClientUsingTheSameDevice,barberClientCount,barberMobilePayTransactionsUnderReview,barberRejectedTransactionsAllTime,barberTransactionsAllTime,barberProcessedTransactionsAllTime,barberTransactionsCreatedAndProcessedInLast1Hour,barberUnregisteredClientCount,clientAccountEmailChangedInLastDay,clientAccountRegisteredApprovedDeviceInLastDay,clientDeviceCount,clientMobilePayFraudAssessmentsPendingReview,clientPaymentMethodChangesInLastHour,clientPaymentMethodChangesInLastDay,clientPaymentMethodChangesInLastWeek,clientPaymentMethodChangesInLastMonth,clientPaymentMethodChangesInLastThreeMonths,clientTransactionsInLast1Hour,clientTransactionsAllTime,clientProcessedTransactionsAllTime,clientTransactionsWithBarberAllTime,clientIPAndMerchantAccountCreationIPMatch,daysBetweenBarberSignupAndBooking,deviceMobilePayFraudAssessmentsPendingReview,hasBarberClientRelation,hoursBetweenBookingAndAppointmentStart,hoursBetweenClientSignupAndBooking,isWalletPaymentMethod,minutesBetweenBookingAndAppointmentStart,mobilePayTransactionsCreatedFromDeviceInLastHour,mobilePayTransactionsCreatedFromDeviceInLastDay,mobilePayTransactionsCreatedFromDeviceInLastWeek,mobilePayTransactionsCreatedFromDeviceInLastMonth,mobilePayTransactionsCreatedFromIPInLastHour,mobilePayTransactionsCreatedFromIPInLastDay,mobilePayTransactionsCreatedFromIPInLastWeek,mobilePayTransactionsCreatedFromIPInLastMonth,rejectedClientTransactions,tipAmountToServicePriceRatio,transactionDisputesCreatedFromIPAllTime,transactionTotal,is_fraud,,,known_values
0,0,0,FALSE,218,0,0,160,124,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,11,6,5,FALSE,736,0,TRUE,0,13967,TRUE,24,1,1,1,3,1,1,1,3,0,0,0,30.95,,,,FALSE
0,1,1,FALSE,1,0,0,2,0,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,1,0,0,FALSE,482,0,FALSE,41,188,FALSE,2490,1,1,1,1,1,3,4,6,0,0.2,0,48.95,,,,TRUE
0,0,0,FALSE,179,0,0,77,58,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,32,19,7,FALSE,175,0,TRUE,3,13966,FALSE,196,1,1,3,3,1,1,1,3,0,0,0,30.95,,,,FALSE
0,0,0,FALSE,996,0,1,15062,10562,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,16,13,16,FALSE,2226,0,TRUE,219,10535,TRUE,13148,1,1,1,2,1,1,1,1,0,0.15,0,52.7,,,,FALSE
0,1,1,FALSE,106,0,0,123,82,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,1,0,1,FALSE,1588,0,FALSE,1,37,TRUE,79,1,1,1,1,1,1,1,1,0,0,0,40.95,,,,FALSE
0,0,0,FALSE,528,0,0,763,590,0,0,FALSE,FALSE,1,0,1,1,1,1,1,1,2,0,2,FALSE,1072,0,TRUE,79,1776,FALSE,4755,1,1,1,1,1,1,1,3,0,0,0,20.95,,,,FALSE
0,0,0,FALSE,259,0,0,1243,1023,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,45,41,45,FALSE,1573,0,TRUE,114,14060,TRUE,6850,1,1,1,3,1,1,2,4,0,0.18,0,53.95,,,,FALSE
0,0,1,FALSE,544,0,0,2724,1670,0,59,FALSE,FALSE,3,0,1,1,1,2,2,1,69,7,66,FALSE,2364,0,TRUE,2,13966,FALSE,167,1,1,1,2,1,1,1,1,0,0,0,41.95,,,,FALSE
0,0,0,FALSE,383,0,0,343,300,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,8,7,8,FALSE,224,0,TRUE,78,5444,TRUE,4699,1,1,1,1,1,1,1,1,0,0.2,0,60.95,,,,FALSE
0,0,0,FALSE,321,0,18,767,611,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,3,2,3,FALSE,1478,0,TRUE,19,1731,TRUE,1164,1,1,1,2,1,1,1,2,0,0.07,0,32.95,,,,FALSE
0,0,0,FALSE,310,0,0,1516,1223,0,4,FALSE,FALSE,1,0,0,0,0,0,0,1,40,34,40,FALSE,1112,0,TRUE,91,11103,FALSE,5509,1,1,1,7,1,1,1,6,0,0,0,25.95,,,,FALSE
0,0,0,FALSE,430,0,0,2950,2548,0,0,FALSE,FALSE,1,0,0,0,0,0,1,1,3,2,3,FALSE,621,0,TRUE,18,1705,FALSE,1132,1,1,1,1,1,1,1,1,0,0.17,0,35.95,,,,FALSE
